speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises,opportunities_to_respond_instance_id,wait_times_instance_id,presses_for_explanation_instance_id,open_ended_questions_instance_id,praises_instance_id,behavior_specific_praises_instance_id,academic_specific_praises_instance_id
silence,0m 0s,0m 1s,,1.837,0.0,1.837,0,,,,,,,,0,0,0,0,0,0,0
student,0m 1s,0m 2s,[Untranscribed],1.043,1.837,2.88,1,,,,,,,,0,0,0,0,0,0,0
teacher,0m 2s,0m 3s,Okay.,0.28,2.88,3.16,2,,,,,,,,0,0,0,0,0,0,0
teacher,0m 3s,0m 4s,What'd you say?,0.84,3.16,4.0,2,1.0,,,,,,,1,0,0,0,0,0,0
teacher,0m 4s,0m 4s,,0.4,4.0,4.4,2,,,,,,,,0,0,0,0,0,0,0
student,0m 4s,0m 5s,A little Christmas light.,1.52,4.4,5.92,3,,,,,,,,0,0,0,0,0,0,0
student,0m 5s,0m 7s,,1.52,5.92,7.44,3,,,,,,,,0,0,0,0,0,0,0
teacher,0m 7s,0m 10s,"Hey, like what?",2.56,7.44,10.0,4,1.0,,,1.0,,,,2,0,0,1,0,0,0
teacher,0m 10s,0m 10s,,0.96,10.0,10.96,4,,,,,,,,0,0,0,0,0,0,0
student,0m 10s,0m 13s,Like those things.,2.08,10.96,13.04,5,,,,,,,,0,0,0,0,0,0,0
student,0m 13s,0m 13s,,0.08,13.04,13.12,5,,,,,,,,0,0,0,0,0,0,0
student,0m 13s,0m 13s,What?,0.4,13.12,13.52,5,,,,,,,,0,0,0,0,0,0,0
student,0m 13s,0m 13s,,0.08,13.52,13.6,5,,,,,,,,0,0,0,0,0,0,0
student,0m 13s,0m 15s,Like are tiny.,2.0,13.6,15.6,5,,,,,,,,0,0,0,0,0,0,0
student,0m 15s,0m 17s,,2.08,15.6,17.68,5,,,,,,,,0,0,0,0,0,0,0
teacher,0m 17s,0m 19s,The lights on the tree.,1.36,17.68,19.04,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 19s,0m 19s,,0.24,19.04,19.28,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 19s,0m 21s,What other things do people do for Christmas?,2.48,19.28,21.76,6,1.0,,,1.0,,,,3,0,0,2,0,0,0
student,0m 21s,0m 22s,,1.2,21.76,22.96,7,,,,,,,,0,0,0,0,0,0,0
student,0m 22s,0m 24s,Open presents.,1.36,22.96,24.32,7,,,,,,,,0,0,0,0,0,0,0
student,0m 24s,0m 24s,,0.48,24.32,24.8,7,,,,,,,,0,0,0,0,0,0,0
teacher,0m 24s,0m 26s,"Hey, we do presents.",1.44,24.8,26.24,8,,,,,,,,0,0,0,0,0,0,0
teacher,0m 26s,0m 27s,We give gifts to people.,1.44,26.24,27.68,8,,,,,,,,0,0,0,0,0,0,0
teacher,0m 27s,0m 28s,,0.48,27.68,28.16,8,,,,,,,,0,0,0,0,0,0,0
teacher,0m 28s,0m 29s,What else do we do for Christmas?,1.52,28.16,29.68,8,1.0,,,1.0,,,,4,0,0,3,0,0,0
teacher,0m 29s,0m 29s,,0.08,29.68,29.76,8,,,,,,,,0,0,0,0,0,0,0
student,0m 29s,0m 31s,Give grand gifts.,1.76,29.76,31.52,9,,,,,,,,0,0,0,0,0,0,0
student,0m 31s,0m 31s,,0.16,31.52,31.68,9,,,,,,,,0,0,0,0,0,0,0
student,0m 31s,0m 32s,All right.,0.56,31.68,32.24,9,,,,,,,,0,0,0,0,0,0,0
student,0m 32s,0m 34s,,2.72,32.24,34.96,9,,,,,,,,0,0,0,0,0,0,0
student,0m 34s,0m 35s,Last year.,0.88,34.96,35.84,9,,,,,,,,0,0,0,0,0,0,0
student,0m 35s,0m 37s,,1.36,35.84,37.2,9,,,,,,,,0,0,0,0,0,0,0
teacher,0m 37s,0m 38s,"Hey, we're not telling stories.",1.6,37.2,38.8,10,,,,,,,,0,0,0,0,0,0,0
teacher,0m 38s,0m 39s,,0.64,38.8,39.44,10,,,,,,,,0,0,0,0,0,0,0
teacher,0m 39s,0m 41s,What else do we do for Christmas?,1.56,39.44,41.0,10,1.0,,,1.0,,,,5,0,0,4,0,0,0
student,0m 41s,0m 41s,Elves.,0.52,41.0,41.52,11,,,,,,,,0,0,0,0,0,0,0
student,0m 41s,0m 42s,,0.96,41.52,42.48,11,,,,,,,,0,0,0,0,0,0,0
teacher,0m 42s,0m 42s,Okay.,0.44,42.48,42.92,12,,,,,,,,0,0,0,0,0,0,0
teacher,0m 42s,0m 43s,Elf on the shelf.,0.84,42.92,43.76,12,,,,,,,,0,0,0,0,0,0,0
teacher,0m 43s,0m 44s,,0.32,43.76,44.08,12,,,,,,,,0,0,0,0,0,0,0
teacher,0m 44s,0m 44s,We do that.,0.8,44.08,44.88,12,,,,,,,,0,0,0,0,0,0,0
teacher,0m 44s,0m 45s,,0.24,44.88,45.12,12,,,,,,,,0,0,0,0,0,0,0
teacher,0m 45s,0m 45s,L.,0.4,45.12,45.52,12,,,,,,,,0,0,0,0,0,0,0
student,0m 45s,0m 51s,,5.6,45.52,51.12,13,,,,,,,,0,0,0,0,0,0,0
student,0m 51s,0m 51s,Yeah.,0.4,51.12,51.52,13,,,,,,,,0,0,0,0,0,0,0
student,0m 51s,0m 52s,Cookies and milk for Santa.,1.28,51.52,52.8,13,,,,,,,,0,0,0,0,0,0,0
student,0m 52s,0m 53s,Okay.,0.4,52.8,53.2,13,,,,,,,,0,0,0,0,0,0,0
student,0m 53s,0m 53s,,0.32,53.2,53.52,13,,,,,,,,0,0,0,0,0,0,0
student,0m 53s,0m 53s,Young.,0.36,53.52,53.88,13,,,,,,,,0,0,0,0,0,0,0
student,0m 53s,0m 54s,Eat food.,0.6,53.88,54.48,13,,,,,,,,0,0,0,0,0,0,0
student,0m 54s,0m 55s,,1.07,54.48,55.55,13,,,,,,,,0,0,0,0,0,0,0
teacher,0m 55s,0m 57s,[Untranscribed],1.89,55.55,57.44,14,,,,,,,,0,0,0,0,0,0,0
student,0m 57s,0m 58s,,1.47,57.44,58.91,15,,,,,,,,0,0,0,0,0,0,0
student,0m 58s,1m 1s,"Wait, you said wait.",2.96,58.91,61.87,15,,,,,,,,0,0,0,0,0,0,0
student,1m 1s,1m 2s,Jesus is open.,0.96,61.87,62.83,15,,,,,,,,0,0,0,0,0,0,0
student,1m 2s,1m 3s,,0.48,62.83,63.31,15,,,,,,,,0,0,0,0,0,0,0
student,1m 3s,1m 4s,Celebrate kindness.,1.36,63.31,64.67,15,,,,,,,,0,0,0,0,0,0,0
student,1m 4s,1m 5s,,0.56,64.67,65.23,15,,,,,,,,0,0,0,0,0,0,0
student,1m 5s,1m 5s,Okay.,0.64,65.23,65.87,15,,,,,,,,0,0,0,0,0,0,0
student,1m 5s,1m 6s,,0.24,65.87,66.11,15,,,,,,,,0,0,0,0,0,0,0
teacher,1m 6s,1m 6s,Yes.,0.48,66.11,66.59,16,,,,,1.0,1.0,,0,0,0,0,1,1,0
teacher,1m 6s,1m 7s,,0.96,66.59,67.55,16,,,,,1.0,1.0,,0,0,0,0,1,1,0
teacher,1m 7s,1m 10s,"We're extra nice to people, aren't we, Josie?",3.2,67.55,70.75,16,1.0,,,,1.0,1.0,,6,0,0,0,1,1,0
teacher,1m 10s,1m 11s,,0.628,70.75,71.378,16,,,,,,,,0,0,0,0,0,0,0
student,1m 11s,1m 15s,[Untranscribed],3.772,71.378,75.15,17,,,,,,,,0,0,0,0,0,0,0
teacher,1m 15s,1m 16s,That's another thing.,1.2,75.15,76.35,18,,,,,,,,0,0,0,0,0,0,0
student,1m 16s,1m 17s,[Untranscribed],1.36,76.35,77.71,19,,,,,,,,0,0,0,0,0,0,0
teacher,1m 17s,1m 20s,Do we just decorate inside the house?,3.12,77.71,80.83,20,1.0,,,,,,,7,0,0,0,0,0,0
student,1m 20s,1m 24s,[Untranscribed],3.51,80.83,84.34,21,,,,,,,,0,0,0,0,0,0,0
teacher,1m 24s,1m 26s,White decorations and we put outside decorations.,2.56,84.34,86.9,22,,,,,,,,0,0,0,0,0,0,0
student,1m 26s,1m 29s,[Untranscribed],2.24,86.9,89.14,23,,,,,,,,0,0,0,0,0,0,0
teacher,1m 29s,1m 31s,Where do you put the lights outside the house?,1.92,89.14,91.06,24,1.0,,,,,,,8,0,0,0,0,0,0
teacher,1m 31s,1m 32s,,1.92,91.06,92.98,24,,,,,,,,0,0,0,0,0,0,0
teacher,1m 32s,1m 33s,On the roof.,0.72,92.98,93.7,24,,,,,,,,0,0,0,0,0,0,0
teacher,1m 33s,1m 35s,,1.3,93.7,95.0,24,,,,,,,,0,0,0,0,0,0,0
student,1m 35s,1m 38s,[Untranscribed],3.02,95.0,98.02,25,,,,,,,,0,0,0,0,0,0,0
teacher,1m 38s,1m 39s,"Hey, raise your hands.",1.28,98.02,99.3,26,,,,,,,,0,0,0,0,0,0,0
student,1m 39s,1m 40s,,1.04,99.3,100.34,27,,,,,,,,0,0,0,0,0,0,0
student,1m 40s,1m 46s,"Ruth, when it's Christmas time, we hang lights on our trees.",6.08,100.34,106.42,27,,,,,,,,0,0,0,0,0,0,0
student,1m 46s,1m 46s,,0.41,106.42,106.83,27,,,,,,,,0,0,0,0,0,0,0
