speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises
group,0m 0s,0m 3s,[Untranscribed],3.92,0,3.92,0,,,,,,,
teacher,0m 3s,0m 4s,Okay.,0.32,3.92,4.24,1,,,,,,,
teacher,0m 4s,0m 5s,You're logging into Quill.,1.04,4.24,5.28,1,,,,,,,
teacher,0m 5s,0m 6s,,0.88,5.28,6.16,1,,,,,,,
teacher,0m 6s,0m 7s,Would it be okay if I did these?,1.44,6.16,7.6,1,,,,,,,
teacher,0m 7s,0m 8s,,0.4,7.6,8.0,1,,,,,,,
teacher,0m 8s,0m 9s,Do I have time to go to class?,1.2,8.0,9.2,1,,,,,,,
student,0m 9s,0m 10s,[Untranscribed],1.0,9.2,10.2,2,,,,,,,
teacher,0m 10s,0m 15s,[Untranscribed],5.0,10.2,15.2,3,,,,,,,
student,0m 15s,0m 18s,[Untranscribed],3.2,15.2,18.4,4,,,,,,,
teacher,0m 18s,0m 20s,"Hey, log into Quill.",2.16,18.4,20.56,5,,,,,,,
teacher,0m 20s,0m 21s,A lot of you are on games.,1.28,20.56,21.84,5,,,,,,,
teacher,0m 21s,0m 22s,,0.32,21.84,22.16,5,,,,,,,
teacher,0m 22s,0m 24s,That is not what log into Quill means.,1.84,22.16,24.0,5,,,,,,,
student,0m 24s,0m 24s,Look at that,0.64,24.0,24.64,6,,,,,,,
student,0m 24s,0m 26s,,2.0,24.64,26.64,6,,,,,,,
teacher,0m 26s,0m 32s,[Untranscribed],6.0,26.64,32.64,7,,,,,,,
student,0m 32s,0m 38s,[Untranscribed],5.4,32.64,38.04,8,,,,,,,
teacher,0m 38s,0m 38s,web page.,0.48,38.04,38.52,9,,,,,,,
media,0m 38s,0m 39s,Block it.,0.72,38.52,39.24,10,,,,,,,
student,0m 39s,0m 41s,[Untranscribed],1.84,39.24,41.08,11,,,,,,,
teacher,0m 41s,0m 49s,"Q, u, I, L L.org two Ls.",8.4,41.08,49.48,12,,,,,,,
teacher,0m 49s,0m 50s,,0.72,49.48,50.2,12,,,,,,,
student,0m 50s,0m 50s,Yeah.,0.48,50.2,50.68,13,,,,,,,
student,0m 50s,0m 52s,,1.35,50.68,52.03,13,,,,,,,
teacher,0m 52s,0m 52s,I don't believe you.,0.96,52.03,52.99,14,,,,,,,
teacher,0m 52s,0m 53s,,0.48,52.99,53.47,14,,,,,,,
teacher,0m 53s,0m 54s,I don't have chargers.,1.12,53.47,54.59,14,,,,,,,
teacher,0m 54s,0m 55s,,0.41,54.59,55,14,,,,,,,
group,0m 55s,0m 57s,[Untranscribed],2.55,55,57.55,15,,,,,,,
teacher,0m 57s,0m 58s,Yes.,0.48,57.55,58.03,16,,,,,,,
teacher,0m 58s,1m 0s,,2.72,58.03,60.75,16,,,,,,,
teacher,1m 0s,1m 2s,I got someone to do my Driver's ed for me.,2.24,60.75,62.99,16,,,,,,,
group,1m 2s,1m 8s,[Untranscribed],5.36,62.99,68.35,17,,,,,,,
teacher,1m 8s,1m 9s,"Hold on, guys.",1.2,68.35,69.55,18,,,,,,,
teacher,1m 9s,1m 9s,,0.08,69.55,69.63,18,,,,,,,
student,1m 9s,1m 10s,Focus up.,0.8,69.63,70.43,19,,,,,,,
student,1m 10s,1m 10s,,0.24,70.43,70.67,19,,,,,,,
teacher,1m 10s,1m 12s,We have fun stuff to do today.,1.52,70.67,72.19,20,,,,,,,
teacher,1m 12s,1m 14s,But I can just make it a personal fun stuff.,2.16,72.19,74.35,20,,,,,,,
teacher,1m 14s,1m 14s,,0.4,74.35,74.75,20,,,,,,,
teacher,1m 14s,1m 15s,Yes.,0.48,74.75,75.23,20,,,,,,,
student,1m 15s,1m 17s,[Untranscribed],1.92,75.23,77.15,21,,,,,,,
teacher,1m 17s,1m 17s,Sorry.,0.32,77.15,77.47,22,,,,,,,
teacher,1m 17s,1m 17s,I have rings.,0.4,77.47,77.87,22,,,,,,,
teacher,1m 17s,1m 18s,I didn't want to leave.,0.72,77.87,78.59,22,,,,,,,
teacher,1m 18s,1m 19s,,0.74,78.59,79.33,22,,,,,,,
teacher,1m 19s,1m 20s,"Listen, Linda, for real.",1.6,79.33,80.93,22,,,,,,,
teacher,1m 20s,1m 21s,,0.08,80.93,81.01,22,,,,,,,
